00:00:00.000.002.500 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.002.828.600 M           <System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.002.828.700 M          <System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.002.828.800 M          >System.Windows.Component.NextSibling() const
00:00:00.002.828.900 M          <System.Windows.Component.NextSibling() const
00:00:00.002.829.400 M          >System.Windows.MenuControl.TextBrush() const
00:00:00.002.829.400 M          <System.Windows.MenuControl.TextBrush() const
00:00:00.002.829.500 M          >System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.002.829.500 M          <System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.002.829.600 M          >System.Windows.MenuControl.BackgroundBrush() const
00:00:00.002.829.600 M          <System.Windows.MenuControl.BackgroundBrush() const
00:00:00.002.829.700 M          >System.Windows.MenuControl.MouseOverBrush() const
00:00:00.002.829.700 M          <System.Windows.MenuControl.MouseOverBrush() const
00:00:00.002.829.800 M          >System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.002.829.800 M          <System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.002.829.900 M          >System.Windows.MenuControl.ShadowBrush() const
00:00:00.002.829.900 M          <System.Windows.MenuControl.ShadowBrush() const
00:00:00.002.830.000 M          >System.Windows.MenuControl.BlackBrush() const
00:00:00.002.830.000 M          <System.Windows.MenuControl.BlackBrush() const
00:00:00.002.830.100 M          >System.Windows.MenuControl.BlackPen() const
00:00:00.002.830.100 M          <System.Windows.MenuControl.BlackPen() const
00:00:00.002.830.200 M          >System.Windows.MenuControl.DarkPen() const
00:00:00.002.830.200 M          <System.Windows.MenuControl.DarkPen() const
00:00:00.002.830.300 M          >System.Windows.MenuControl.GetFont() const
00:00:00.002.830.300 M          <System.Windows.MenuControl.GetFont() const
00:00:00.002.830.400 M          >System.Windows.MenuControl.Format() const
00:00:00.002.830.400 M          <System.Windows.MenuControl.Format() const
00:00:00.002.830.500 M          >System.Windows.MenuControl.MenuOpenColor() const
00:00:00.002.830.500 M          <System.Windows.MenuControl.MenuOpenColor() const
00:00:00.002.830.600 M          >System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.002.830.700 M           >System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.002.830.800 M            >System.Windows.MenuItemBase.Location() const
00:00:00.002.830.800 M            <System.Windows.MenuItemBase.Location() const
00:00:00.002.830.900 M            >System.Windows.MenuItemBase.GetSize() const
00:00:00.002.830.900 M            <System.Windows.MenuItemBase.GetSize() const
00:00:00.002.831.000 M            >System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.002.831.100 M            <System.Windows.Rect.Rect(const Point&, const Size&)
00:00:00.002.831.200 M            >System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.002.831.200 M            <System.Windows.MenuBar.GetSelectedMenuItem() const
00:00:00.002.831.200 M            >System.Windows.MenuItem.Selected() const
00:00:00.002.831.300 M            <System.Windows.MenuItem.Selected() const
00:00:00.002.831.400 M            >System.Windows.MenuItemBase.Level() const
00:00:00.002.831.400 M             >System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.002.831.500 M              >System.Windows.Component.GetContainer() const
00:00:00.002.831.600 M              <System.Windows.Component.GetContainer() const
00:00:00.002.831.600 M              >System.Windows.Container.Parent() const
00:00:00.002.831.700 M              <System.Windows.Container.Parent() const
00:00:00.002.831.900 M             <System.Windows.MenuItemBase.GetParentMenuItem() const
00:00:00.002.832.000 M            <System.Windows.MenuItemBase.Level() const
00:00:00.002.832.100 M            >System.Windows.MenuItem.Selected() const
00:00:00.002.832.100 M            <System.Windows.MenuItem.Selected() const
