00:00:00.000.001.900 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.000.218.100 M             <System.Windows.Graphics.FillRectangle(const Brush&, const Rect&)
00:00:00.000.218.200 M            <System.Windows.Graphics.FillRectangleChecked(const Brush&, const Rect&)
00:00:00.000.218.400 M            >System.Windows.StringFormat.StringFormat(const StringFormat&)
00:00:00.000.219.600 M            <System.Windows.StringFormat.StringFormat(const StringFormat&)
00:00:00.000.219.800 M            >System.Windows.StringFormat.SetAlignment(System.Windows.StringAlignment)
00:00:00.000.220.000 M            <System.Windows.StringFormat.SetAlignment(System.Windows.StringAlignment)
00:00:00.000.220.100 M            >System.Windows.PointF.PointF(float, float)
00:00:00.000.220.100 M            <System.Windows.PointF.PointF(float, float)
00:00:00.000.220.300 M            >System.Windows.SizeF.SizeF(float, float)
00:00:00.000.220.300 M            <System.Windows.SizeF.SizeF(float, float)
00:00:00.000.220.600 M            >System.Windows.RectF.RectF(const PointF&, const SizeF&)
00:00:00.000.220.600 M            <System.Windows.RectF.RectF(const PointF&, const SizeF&)
00:00:00.000.220.700 M            >System.Windows.MenuItem.IsEnabled() const
00:00:00.000.221.600 M            <System.Windows.MenuItem.IsEnabled() const
00:00:00.000.221.800 M            >System.Windows.Graphics.DrawStringChecked(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.000.222.000 M             >System.Windows.Graphics.DrawString(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.000.222.200 M              >System.Windows.Font.NativeFont() const
00:00:00.000.222.300 M              <System.Windows.Font.NativeFont() const
00:00:00.000.222.300 M              >System.Windows.StringFormat.NativeFormat() const
00:00:00.000.222.400 M              <System.Windows.StringFormat.NativeFormat() const
00:00:00.000.222.400 M              >System.Windows.SolidBrush.NativeBrush() const
00:00:00.000.222.500 M              <System.Windows.SolidBrush.NativeBrush() const
00:00:00.001.412.300 M             <System.Windows.Graphics.DrawString(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.001.412.700 M            <System.Windows.Graphics.DrawStringChecked(const String<char>&, const Font&, const RectF&, const StringFormat&, const Brush&)
00:00:00.001.412.900 M            >System.Windows.StringFormat.~StringFormat()
00:00:00.001.413.600 M            <System.Windows.StringFormat.~StringFormat()
00:00:00.001.413.600 M           <System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.001.413.700 M          <System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.001.413.900 M          >System.Windows.Component.NextSibling() const
00:00:00.001.413.900 M          <System.Windows.Component.NextSibling() const
00:00:00.001.414.400 M          >System.Windows.MenuControl.TextBrush() const
00:00:00.001.414.500 M          <System.Windows.MenuControl.TextBrush() const
00:00:00.001.414.500 M          >System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.001.414.600 M          <System.Windows.MenuControl.DisabledTextBrush() const
00:00:00.001.414.600 M          >System.Windows.MenuControl.BackgroundBrush() const
00:00:00.001.414.700 M          <System.Windows.MenuControl.BackgroundBrush() const
00:00:00.001.414.700 M          >System.Windows.MenuControl.MouseOverBrush() const
00:00:00.001.414.800 M          <System.Windows.MenuControl.MouseOverBrush() const
00:00:00.001.414.800 M          >System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.001.414.900 M          <System.Windows.MenuControl.MenuOpenBrush() const
00:00:00.001.414.900 M          >System.Windows.MenuControl.ShadowBrush() const
00:00:00.001.415.000 M          <System.Windows.MenuControl.ShadowBrush() const
00:00:00.001.415.000 M          >System.Windows.MenuControl.BlackBrush() const
00:00:00.001.415.100 M          <System.Windows.MenuControl.BlackBrush() const
00:00:00.001.415.100 M          >System.Windows.MenuControl.BlackPen() const
00:00:00.001.415.200 M          <System.Windows.MenuControl.BlackPen() const
00:00:00.001.415.200 M          >System.Windows.MenuControl.DarkPen() const
00:00:00.001.415.300 M          <System.Windows.MenuControl.DarkPen() const
00:00:00.001.415.300 M          >System.Windows.MenuControl.GetFont() const
00:00:00.001.415.400 M          <System.Windows.MenuControl.GetFont() const
00:00:00.001.415.400 M          >System.Windows.MenuControl.Format() const
00:00:00.001.415.500 M          <System.Windows.MenuControl.Format() const
00:00:00.001.415.500 M          >System.Windows.MenuControl.MenuOpenColor() const
00:00:00.001.415.600 M          <System.Windows.MenuControl.MenuOpenColor() const
00:00:00.001.415.600 M          >System.Windows.MenuItem.Draw(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
00:00:00.001.415.700 M           >System.Windows.MenuItem.DrawClosed(Graphics&, const Padding&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Brush&, const Pen&, const Font&, const StringFormat&, const Color&, MenuControl*, bool, const Point&)
